Total_Stops,Price,journey_Month,Dep_hour,Arrival_hour,Duration_hours,Airline
1,9149,5,8,19,10,Vistara
1,12373,5,11,12,25,Jet Airways
1,5583,4,15,22,6,SpiceJet
1,7695,3,12,1,12,Multiple carriers
2,11972,6,17,19,26,Air India
0,3873,4,17,19,2,SpiceJet
0,5403,4,9,12,2,Vistara
1,10262,6,19,12,16,Jet Airways
0,3873,5,6,9,2,SpiceJet
0,5515,3,17,19,2,SpiceJet
2,9181,6,22,19,21,Air India
1,6116,6,19,23,3,IndiGo
0,4667,5,11,13,2,Air India
2,13292,6,5,4,22,IndiGo
1,8576,5,9,18,9,Air India
0,3841,6,9,11,2,SpiceJet
0,4823,6,7,10,2,IndiGo
0,5674,3,18,21,3,Air India
2,15339,6,23,4,29,Jet Airways
2,14424,5,7,5,22,Air India
1,6416,6,11,21,9,IndiGo
3,12383,6,5,7,26,Air India
2,15129,5,13,12,23,Jet Airways
1,12681,4,18,8,13,Jet Airways
1,7452,5,7,22,14,Air Asia
0,3841,6,6,9,2,Air India
2,11507,6,21,12,15,Jet Airways
0,2754,3,19,20,1,IndiGo
1,8452,4,20,20,24,Vistara
0,2754,5,19,20,1,Jet Airways
1,14151,5,20,21,24,Jet Airways
1,6412,6,14,22,8,IndiGo
1,6959,6,18,4,9,Jet Airways
1,5683,4,20,8,11,Jet Airways
1,11467,5,20,23,27,SpiceJet
1,5281,6,7,12,5,GoAir
0,5176,4,17,19,2,Air India
1,10844,6,8,18,9,Jet Airways
2,12434,5,16,15,22,Air India
1,14151,5,20,22,25,Air Asia
0,3841,6,9,11,2,SpiceJet
0,2753,6,5,7,1,SpiceJet
0,2227,5,13,14,1,SpiceJet
1,8032,3,11,13,25,Air India
0,5228,4,21,23,2,Jet Airways
0,2071,3,19,21,1,Jet Airways
1,11936,5,10,23,13,Air India
2,10368,6,5,19,13,Jet Airways
1,6093,6,11,21,9,IndiGo
2,13292,6,9,12,27,Jet Airways
0,3898,6,7,10,2,GoAir
1,12373,5,19,4,9,Jet Airways
2,10368,6,5,4,22,Jet Airways
1,13348,3,6,8,26,Air India
1,9663,5,20,9,13,Vistara
1,5192,5,7,19,11,Air Asia
2,5192,5,15,23,8,Jet Airways
1,5608,6,10,17,7,Air India
0,3543,5,17,20,2,SpiceJet
0,2017,5,5,7,1,SpiceJet
1,5684,6,15,1,10,IndiGo
0,6205,3,20,23,2,Jet Airways
2,12723,5,5,12,30,Jet Airways
0,5000,6,14,17,3,Jet Airways
1,17057,3,2,15,13,Multiple carriers
0,4256,6,11,14,3,Jet Airways
2,10976,3,19,19,24,Jet Airways
2,12819,6,23,4,29,Jet Airways
1,6171,4,5,16,11,IndiGo
0,4544,4,11,14,2,Jet Airways
1,10877,6,8,19,10,Multiple carriers
1,7933,6,9,21,12,Multiple carriers
1,6442,5,8,22,13,IndiGo
1,13941,5,20,10,14,Jet Airways
1,11297,3,5,15,9,Jet Airways
1,7514,6,7,16,8,IndiGo
1,12242,3,22,4,6,Jet Airways
1,10262,6,2,12,10,Jet Airways
1,12373,5,17,19,25,Jet Airways
1,10844,5,8,19,11,Jet Airways
0,25913,3,17,19,2,Air India
1,16108,6,10,19,9,Multiple carriers
0,2227,6,21,22,1,IndiGo
1,13378,3,7,19,12,Multiple carriers
1,9646,6,7,16,9,Multiple carriers
1,13067,5,9,18,8,Jet Airways
1,6790,3,8,22,13,IndiGo
1,11507,3,9,0,14,Jet Airways
1,9165,3,14,19,5,IndiGo
1,6850,3,22,23,25,Air India
2,10919,6,14,4,13,GoAir
0,5176,4,6,8,2,Air India
0,3971,5,21,0,2,SpiceJet
3,9128,3,5,19,38,Multiple carriers
0,5678,5,19,21,1,Jet Airways
1,11134,3,16,16,23,Jet Airways
1,10188,5,14,19,5,GoAir
1,13843,3,2,19,17,Jet Airways
1,13067,5,20,10,14,Jet Airways
1,7191,5,18,1,6,Vistara
1,5883,6,10,1,14,Multiple carriers
1,9581,3,5,10,5,IndiGo
0,4050,5,2,4,1,Jet Airways
0,8016,6,19,22,3,Air India
2,13014,6,5,4,22,Jet Airways
2,17732,5,9,5,20,Air India
0,7222,3,20,23,2,SpiceJet
1,8147,3,5,10,4,Jet Airways
0,5678,5,7,8,1,Jet Airways
1,9103,5,11,19,7,Multiple carriers
1,12284,3,11,7,20,SpiceJet
1,15147,3,8,21,12,Multiple carriers
0,3898,5,7,10,2,GoAir
0,3841,4,17,19,2,SpiceJet
0,6015,6,21,0,3,IndiGo
0,4423,4,10,13,2,IndiGo
1,14388,5,14,10,20,Jet Airways
1,6007,6,12,21,8,Multiple carriers
0,4804,6,20,22,2,IndiGo
1,6451,4,20,7,10,Air Asia
1,14231,3,16,16,23,Jet Airways
1,5192,5,15,20,4,IndiGo
2,13014,6,5,19,13,Jet Airways
2,12199,5,17,7,14,Air India
0,3597,5,19,21,2,IndiGo
0,1840,3,2,4,1,Jet Airways
0,5755,3,12,13,1,IndiGo
2,13576,3,5,22,16,Air India
0,3625,5,6,7,1,Air India
1,13727,5,18,1,7,Multiple carriers
2,10441,5,22,19,21,Air India
3,14260,3,16,12,19,Air India
0,3850,5,5,7,2,IndiGo
0,3597,5,14,17,2,IndiGo
2,7642,3,8,11,27,IndiGo
1,6883,3,8,21,13,Multiple carriers
1,5883,6,15,1,10,Multiple carriers
0,5232,3,20,21,1,IndiGo
1,13067,5,20,21,24,IndiGo
0,3943,5,4,6,2,IndiGo
0,6094,6,14,17,3,Air India
1,6253,6,20,7,10,Air Asia
1,7438,3,23,19,20,Jet Airways
0,4990,4,16,19,3,IndiGo
0,6094,5,5,8,2,Air India
1,11627,6,10,4,18,Jet Airways
0,6144,3,21,0,2,IndiGo
1,9555,6,7,20,13,Vistara
1,10112,6,23,4,5,IndiGo
0,3573,5,5,8,2,SpiceJet
1,15078,5,10,1,15,Multiple carriers
2,15129,5,9,4,18,Vistara
2,10660,3,9,9,23,Air India
1,5733,3,2,7,5,IndiGo
1,14817,3,6,19,12,Multiple carriers
2,15113,3,5,7,25,Air India
1,11789,6,10,19,8,Multiple carriers
0,6094,5,18,21,3,Air India
0,4823,6,7,10,2,IndiGo
0,6834,5,21,0,3,IndiGo
0,2575,3,21,22,1,Air India
1,12351,3,6,21,14,IndiGo
2,11222,5,8,11,26,IndiGo
0,5198,4,6,8,2,Jet Airways
0,4441,4,21,23,2,Air India
1,8586,5,20,10,14,Jet Airways
1,10262,6,20,12,15,Jet Airways
1,12898,5,19,12,17,Jet Airways
2,13922,6,17,19,25,Jet Airways
0,4326,3,5,7,2,IndiGo
2,11752,6,9,13,28,Air India
1,5117,3,17,9,16,Air India
0,5228,5,13,16,2,Air India
1,6017,3,15,4,13,Jet Airways
1,16289,3,16,4,12,Jet Airways
0,3597,5,17,20,2,Multiple carriers
0,4439,5,9,11,2,SpiceJet
1,6745,3,23,19,20,Air India
1,10262,6,22,4,5,Jet Airways
0,6478,6,6,8,2,Jet Airways
1,9646,6,7,16,9,Multiple carriers
0,4030,5,18,22,3,Jet Airways
0,3543,5,17,20,2,SpiceJet
0,5755,3,8,10,1,SpiceJet
1,13941,5,6,4,22,Jet Airways
1,11237,3,16,22,6,IndiGo
1,7095,6,15,20,5,IndiGo
1,10539,6,17,9,16,Jet Airways
2,15129,5,9,4,18,Jet Airways
1,6838,3,11,21,9,IndiGo
